t psi theta phi
0.000000 0.000000 1.047198 0.000000
0.005003 0.005002 1.047161 0.079369
0.010005 0.010000 1.047052 0.158734
0.015008 0.014992 1.046870 0.238093
0.020010 0.019973 1.046615 0.317442
0.025013 0.024941 1.046287 0.396779
0.030015 0.029891 1.045887 0.476101
0.035018 0.034821 1.045414 0.555403
0.040020 0.039727 1.044869 0.634683
0.045023 0.044606 1.044253 0.713939
0.050025 0.049454 1.043565 0.793167
0.055028 0.054269 1.042805 0.872364
0.060030 0.059047 1.041975 0.951527
0.065033 0.063785 1.041073 1.030654
0.070035 0.068481 1.040102 1.109741
0.075038 0.073130 1.039060 1.188787
0.080040 0.077731 1.037950 1.267788
0.085043 0.082280 1.036770 1.346742
0.090045 0.086775 1.035521 1.425646
0.095048 0.091212 1.034205 1.504499
0.100050 0.095590 1.032821 1.583297
0.105053 0.099906 1.031371 1.662039
0.110055 0.104158 1.029854 1.740722
0.115058 0.108342 1.028271 1.819344
0.120060 0.112457 1.026623 1.897903
0.125063 0.116501 1.024911 1.976398
0.130065 0.120471 1.023135 2.054827
0.135068 0.124366 1.021295 2.133188
0.140070 0.128184 1.019394 2.211479
0.145073 0.131923 1.017430 2.289698
0.150075 0.135580 1.015405 2.367845
0.155078 0.139156 1.013320 2.445919
0.160080 0.142647 1.011175 2.523917
0.165083 0.146053 1.008972 2.601838
0.170085 0.149372 1.006710 2.679682
0.175088 0.152603 1.004391 2.757448
0.180090 0.155745 1.002015 2.835135
0.185093 0.158797 0.999584 2.912742
0.190095 0.161757 0.997097 2.990267
0.195098 0.164626 0.994556 3.067712
0.200100 0.167401 0.991962 3.145074
0.205103 0.170082 0.989315 3.222355
0.210105 0.172670 0.986616 3.299552
0.215108 0.175161 0.983866 3.376666
0.220110 0.177558 0.981066 3.453697
0.225113 0.179858 0.978216 3.530645
0.230115 0.182062 0.975318 3.607508
0.235118 0.184169 0.972371 3.684289
0.240120 0.186179 0.969378 3.760985
0.245123 0.188092 0.966339 3.837598
0.250125 0.189907 0.963254 3.914128
0.255128 0.191625 0.960125 3.990574
0.260130 0.193246 0.956951 4.066938
0.265133 0.194769 0.953735 4.143219
0.270135 0.196194 0.950476 4.219418
0.275138 0.197522 0.947176 4.295535
0.280140 0.198753 0.943836 4.371571
0.285143 0.199888 0.940455 4.447526
0.290145 0.200925 0.937035 4.523400
0.295148 0.201866 0.933577 4.599195
0.300150 0.202711 0.930082 4.674911
0.305153 0.203460 0.926549 4.750549
0.310155 0.204114 0.922981 4.826108
0.315158 0.204673 0.919377 4.901591
0.320160 0.205137 0.915739 4.976998
0.325163 0.205508 0.912067 5.052329
0.330165 0.205785 0.908362 5.127585
0.335168 0.205969 0.904624 5.202767
0.340170 0.206060 0.900855 5.277877
0.345173 0.206060 0.897055 5.352914
0.350175 0.205968 0.893225 5.427880
0.355178 0.205785 0.889365 5.502776
0.360180 0.205513 0.885476 5.577602
0.365183 0.205150 0.881560 5.652360
0.370185 0.204699 0.877616 5.727050
0.375188 0.204160 0.873645 5.801674
0.380190 0.203533 0.869648 5.876232
0.385193 0.202819 0.865625 5.950725
0.390195 0.202019 0.861578 6.025154
0.395198 0.201134 0.857507 6.099521
0.400200 0.200163 0.853413 6.173826
0.405203 0.199109 0.849295 6.248071
0.410205 0.197971 0.845156 6.322255
0.415208 0.196750 0.840995 6.396381
0.420210 0.195446 0.836813 6.470450
0.425213 0.194062 0.832610 6.544461
0.430215 0.192597 0.828388 6.618417
0.435218 0.191051 0.824148 6.692318
0.440220 0.189426 0.819888 6.766166
0.445223 0.187723 0.815611 6.839961
0.450225 0.185942 0.811316 6.913704
0.455228 0.184083 0.807005 6.987397
0.460230 0.182148 0.802678 7.061040
0.465233 0.180137 0.798335 7.134634
0.470235 0.178050 0.793978 7.208181
0.475238 0.175889 0.789606 7.281680
0.480240 0.173654 0.785220 7.355135
0.485243 0.171346 0.780821 7.428544
0.490245 0.168965 0.776410 7.501910
0.495248 0.166513 0.771986 7.575233
0.500250 0.163989 0.767551 7.648514
0.505253 0.161394 0.763105 7.721754
0.510255 0.158729 0.758649 7.794954
0.515258 0.155995 0.754182 7.868115
0.520260 0.153192 0.749706 7.941238
0.525263 0.150321 0.745222 8.014324
0.530265 0.147382 0.740729 8.087374
0.535268 0.144376 0.736229 8.160388
0.540270 0.141304 0.731721 8.233368
0.545273 0.138166 0.727207 8.306314
0.550275 0.134963 0.722687 8.379228
0.555278 0.131695 0.718161 8.452109
0.560280 0.128362 0.713630 8.524960
0.565283 0.124967 0.709094 8.597781
0.570285 0.121508 0.704554 8.670572
0.575288 0.117987 0.700011 8.743336
0.580290 0.114403 0.695465 8.816071
0.585293 0.110759 0.690916 8.888780
0.590295 0.107053 0.686366 8.961462
0.595298 0.103287 0.681814 9.034120
0.600300 0.099461 0.677261 9.106753
0.605303 0.095575 0.672707 9.179363
0.610305 0.091631 0.668154 9.251950
0.615308 0.087628 0.663601 9.324515
0.620310 0.083567 0.659050 9.397058
0.625313 0.079448 0.654500 9.469581
0.630315 0.075273 0.649952 9.542084
0.635318 0.071041 0.645406 9.614569
0.640320 0.066752 0.640864 9.687034
0.645323 0.062408 0.636326 9.759483
0.650325 0.058008 0.631791 9.831914
0.655328 0.053554 0.627262 9.904329
0.660330 0.049045 0.622737 9.976728
0.665333 0.044482 0.618218 10.049113
0.670335 0.039865 0.613705 10.121483
0.675338 0.035195 0.609199 10.193840
0.680340 0.030472 0.604701 10.266184
0.685343 0.025696 0.600209 10.338515
0.690345 0.020869 0.595726 10.410835
0.695348 0.015990 0.591252 10.483144
0.700350 0.011059 0.586787 10.555442
0.705353 0.006077 0.582332 10.627731
0.710355 0.001045 0.577887 10.700010
0.715358 -0.004037 0.573453 10.772281
0.720360 -0.009170 0.569029 10.844544
0.725363 -0.014352 0.564618 10.916799
0.730365 -0.019583 0.560219 10.989047
0.735368 -0.024863 0.555833 11.061289
0.740370 -0.030192 0.551460 11.133525
0.745373 -0.035568 0.547101 11.205755
0.750375 -0.040993 0.542756 11.277981
0.755378 -0.046465 0.538426 11.350202
0.760380 -0.051984 0.534112 11.422420
0.765383 -0.057550 0.529813 11.494634
0.770385 -0.063163 0.525531 11.566846
0.775388 -0.068822 0.521265 11.639055
0.780390 -0.074527 0.517017 11.711262
0.785393 -0.080277 0.512787 11.783468
0.790395 -0.086072 0.508576 11.855673
0.795398 -0.091913 0.504383 11.927878
0.800400 -0.097798 0.500210 12.000082
0.805403 -0.103728 0.496057 12.072286
0.810405 -0.109701 0.491924 12.144492
0.815408 -0.115718 0.487813 12.216698
0.820410 -0.121779 0.483723 12.288906
0.825413 -0.127882 0.479655 12.361116
0.830415 -0.134029 0.475610 12.433328
0.835418 -0.140218 0.471588 12.505543
0.840420 -0.146449 0.467590 12.577761
0.845423 -0.152722 0.463616 12.649982
0.850425 -0.159036 0.459666 12.722208
0.855428 -0.165392 0.455742 12.794437
0.860430 -0.171788 0.451844 12.866670
0.865433 -0.178225 0.447972 12.938908
0.870435 -0.184703 0.444126 13.011151
0.875438 -0.191220 0.440309 13.083400
0.880440 -0.197778 0.436518 13.155654
0.885443 -0.204374 0.432757 13.227914
0.890445 -0.211010 0.429024 13.300180
0.895448 -0.217684 0.425321 13.372452
0.900450 -0.224397 0.421647 13.444731
0.905453 -0.231147 0.418004 13.517017
0.910455 -0.237936 0.414392 13.589311
0.915458 -0.244762 0.410812 13.661611
0.920460 -0.251625 0.407263 13.733919
0.925463 -0.258525 0.403747 13.806235
0.930465 -0.265461 0.400264 13.878558
0.935468 -0.272433 0.396815 13.950890
0.940470 -0.279441 0.393400 14.023230
0.945473 -0.286485 0.390019 14.095579
0.950475 -0.293563 0.386673 14.167936
0.955478 -0.300676 0.383363 14.240302
0.960480 -0.307824 0.380089 14.312677
0.965483 -0.315005 0.376851 14.385061
0.970485 -0.322220 0.373651 14.457454
0.975488 -0.329469 0.370488 14.529857
0.980490 -0.336750 0.367363 14.602269
0.985493 -0.344064 0.364277 14.674690
0.990495 -0.351410 0.361230 14.747121
0.995498 -0.358787 0.358222 14.819561
1.000500 -0.366196 0.355254 14.892012
1.005503 -0.373636 0.352327 14.964472
1.010505 -0.381106 0.349440 15.036942
1.015508 -0.388607 0.346595 15.109421
1.020510 -0.396137 0.343792 15.181911
1.025513 -0.403697 0.341031 15.254410
1.030515 -0.411285 0.338313 15.326919
1.035518 -0.418902 0.335638 15.399438
1.040520 -0.426547 0.333007 15.471967
1.045523 -0.434220 0.330420 15.544506
1.050525 -0.441920 0.327878 15.617055
1.055528 -0.449646 0.325380 15.689613
1.060530 -0.457399 0.322928 15.762182
1.065533 -0.465178 0.320521 15.834760
1.070535 -0.472982 0.318161 15.907347
1.075538 -0.480811 0.315848 15.979944
1.080540 -0.488664 0.313581 16.052551
1.085543 -0.496541 0.311362 16.125167
1.090545 -0.504442 0.309191 16.197792
1.095548 -0.512365 0.307068 16.270427
1.100550 -0.520312 0.304993 16.343070
1.105553 -0.528280 0.302968 16.415723
1.110555 -0.536269 0.300991 16.488384
1.115558 -0.544280 0.299065 16.561054
1.120560 -0.552311 0.297188 16.633733
1.125563 -0.560362 0.295362 16.706420
1.130565 -0.568432 0.293586 16.779115
1.135568 -0.576522 0.291862 16.851819
1.140570 -0.584629 0.290188 16.924530
1.145573 -0.592755 0.288567 16.997249
1.150575 -0.600897 0.286997 17.069975
1.155578 -0.609057 0.285479 17.142709
1.160580 -0.617233 0.284014 17.215450
1.165583 -0.625424 0.282602 17.288198
1.170585 -0.633630 0.281242 17.360952
1.175588 -0.641851 0.279936 17.433713
1.180590 -0.650086 0.278684 17.506481
1.185593 -0.658334 0.277485 17.579254
1.190595 -0.666595 0.276340 17.652033
1.195598 -0.674868 0.275249 17.724818
1.200600 -0.683152 0.274213 17.797608
1.205603 -0.691448 0.273231 17.870403
1.210605 -0.699754 0.272304 17.943203
1.215608 -0.708070 0.271432 18.016007
1.220610 -0.716395 0.270615 18.088816
1.225613 -0.724729 0.269853 18.161629
1.230615 -0.733071 0.269147 18.234445
1.235618 -0.741421 0.268497 18.307265
1.240620 -0.749777 0.267902 18.380089
1.245623 -0.758139 0.267362 18.452915
1.250625 -0.766507 0.266879 18.525744
1.255628 -0.774880 0.266452 18.598575
1.260630 -0.783257 0.266081 18.671408
1.265633 -0.791639 0.265766 18.744243
1.270635 -0.800023 0.265507 18.817079
1.275638 -0.808410 0.265304 18.889917
1.280640 -0.816799 0.265158 18.962756
1.285643 -0.825189 0.265068 19.035595
1.290645 -0.833579 0.265034 19.108434
1.295648 -0.841970 0.265057 19.181274
1.300650 -0.850361 0.265136 19.254113
1.305653 -0.858750 0.265271 19.326952
1.310655 -0.867137 0.265463 19.399790
1.315658 -0.875522 0.265711 19.472627
1.320660 -0.883904 0.266015 19.545462
1.325663 -0.892282 0.266375 19.618295
1.330665 -0.900656 0.266791 19.691127
1.335668 -0.909025 0.267264 19.763956
1.340670 -0.917388 0.267792 19.836783
1.345673 -0.925746 0.268376 19.909607
1.350675 -0.934096 0.269016 19.982427
1.355678 -0.942440 0.269711 20.055245
1.360680 -0.950775 0.270462 20.128058
1.365683 -0.959102 0.271268 20.200868
1.370685 -0.967420 0.272129 20.273673
1.375688 -0.975728 0.273046 20.346474
1.380690 -0.984026 0.274017 20.419270
1.385693 -0.992313 0.275042 20.492061
1.390695 -1.000588 0.276122 20.564847
1.395698 -1.008851 0.277257 20.637627
1.400700 -1.017102 0.278445 20.710401
1.405703 -1.025340 0.279687 20.783170
1.410705 -1.033563 0.280983 20.855932
1.415708 -1.041772 0.282332 20.928688
1.420710 -1.049967 0.283734 21.001437
1.425713 -1.058145 0.285189 21.074180
1.430715 -1.066308 0.286696 21.146915
1.435718 -1.074454 0.288256 21.219643
1.440720 -1.082583 0.289867 21.292363
1.445723 -1.090694 0.291531 21.365076
1.450725 -1.098787 0.293245 21.437781
1.455728 -1.106861 0.295011 21.510477
1.460730 -1.114916 0.296827 21.583166
1.465733 -1.122951 0.298694 21.655846
1.470735 -1.130966 0.300611 21.728518
1.475738 -1.138959 0.302578 21.801181
1.480740 -1.146932 0.304594 21.873835
1.485743 -1.154882 0.306658 21.946481
1.490745 -1.162810 0.308772 22.019117
1.495748 -1.170715 0.310934 22.091744
1.500750 -1.178597 0.313144 22.164362
1.505753 -1.186455 0.315401 22.236971
1.510755 -1.194289 0.317705 22.309570
1.515758 -1.202098 0.320056 22.382159
1.520760 -1.209881 0.322454 22.454739
1.525763 -1.217639 0.324897 22.527309
1.530765 -1.225371 0.327386 22.599869
1.535768 -1.233076 0.329920 22.672420
1.540770 -1.240754 0.332498 22.744961
1.545773 -1.248404 0.335121 22.817492
1.550775 -1.256027 0.337787 22.890013
1.555778 -1.263621 0.340497 22.962524
1.560780 -1.271186 0.343249 23.035025
1.565783 -1.278722 0.346044 23.107517
1.570785 -1.286229 0.348881 23.179998
1.575788 -1.293705 0.351759 23.252470
1.580790 -1.301151 0.354679 23.324932
1.585793 -1.308566 0.357639 23.397384
1.590795 -1.315950 0.360639 23.469826
1.595798 -1.323302 0.363678 23.542259
1.600800 -1.330622 0.366757 23.614682
1.605803 -1.337909 0.369874 23.687096
1.610805 -1.345164 0.373030 23.759500
1.615808 -1.352386 0.376223 23.831895
1.620810 -1.359574 0.379453 23.904281
1.625813 -1.366728 0.382720 23.976658
1.630815 -1.373848 0.386023 24.049026
1.635818 -1.380933 0.389362 24.121385
1.640820 -1.387984 0.392736 24.193735
1.645823 -1.394999 0.396145 24.266077
1.650825 -1.401978 0.399588 24.338410
1.655828 -1.408921 0.403064 24.410736
1.660830 -1.415828 0.406574 24.483053
1.665833 -1.422699 0.410116 24.555362
