t psi theta phi
0.000000 0.000000 1.483530 0.000000
0.010005 -0.000001 1.483521 0.150073
0.020010 -0.000007 1.483496 0.300140
0.030015 -0.000025 1.483453 0.450196
0.040020 -0.000059 1.483393 0.600236
0.050025 -0.000114 1.483316 0.750254
0.060030 -0.000197 1.483222 0.900246
0.070035 -0.000313 1.483112 1.050204
0.080040 -0.000466 1.482984 1.200125
0.090045 -0.000663 1.482839 1.350003
0.100050 -0.000907 1.482678 1.499834
0.110055 -0.001204 1.482500 1.649612
0.120060 -0.001559 1.482306 1.799332
0.130065 -0.001977 1.482095 1.948990
0.140070 -0.002461 1.481868 2.098581
0.150075 -0.003017 1.481625 2.248102
0.160080 -0.003649 1.481366 2.397546
0.170085 -0.004360 1.481091 2.546912
0.180090 -0.005156 1.480800 2.696194
0.190095 -0.006039 1.480493 2.845388
0.200100 -0.007013 1.480171 2.994492
0.210105 -0.008082 1.479834 3.143502
0.220110 -0.009248 1.479482 3.292415
0.230115 -0.010516 1.479114 3.441226
0.240120 -0.011888 1.478732 3.589935
0.250125 -0.013366 1.478336 3.738537
0.260130 -0.014954 1.477925 3.887031
0.270135 -0.016653 1.477500 4.035413
0.280140 -0.018466 1.477060 4.183683
0.290145 -0.020395 1.476608 4.331837
0.300150 -0.022441 1.476141 4.479874
0.310155 -0.024607 1.475661 4.627793
0.320160 -0.026894 1.475168 4.775591
0.330165 -0.029303 1.474662 4.923268
0.340170 -0.031835 1.474143 5.070822
0.350175 -0.034492 1.473611 5.218253
0.360180 -0.037274 1.473067 5.365559
0.370185 -0.040182 1.472511 5.512740
0.380190 -0.043217 1.471943 5.659794
0.390195 -0.046379 1.471363 5.806723
0.400200 -0.049668 1.470772 5.953525
0.410205 -0.053085 1.470169 6.100200
0.420210 -0.056630 1.469556 6.246748
0.430215 -0.060303 1.468931 6.393170
0.440220 -0.064103 1.468295 6.539464
0.450225 -0.068030 1.467649 6.685633
0.460230 -0.072085 1.466993 6.831675
0.470235 -0.076266 1.466326 6.977592
0.480240 -0.080574 1.465650 7.123383
0.490245 -0.085007 1.464964 7.269050
0.500250 -0.089564 1.464268 7.414593
0.510255 -0.094246 1.463563 7.560013
0.520260 -0.099051 1.462849 7.705311
0.530265 -0.103979 1.462125 7.850488
0.540270 -0.109028 1.461393 7.995544
0.550275 -0.114198 1.460652 8.140481
0.560280 -0.119487 1.459903 8.285299
0.570285 -0.124894 1.459146 8.430000
0.580290 -0.130419 1.458380 8.574585
0.590295 -0.136060 1.457606 8.719055
0.600300 -0.141817 1.456825 8.863412
0.610305 -0.147686 1.456036 9.007656
0.620310 -0.153669 1.455239 9.151788
0.630315 -0.159762 1.454436 9.295811
0.640320 -0.165966 1.453625 9.439725
0.650325 -0.172278 1.452807 9.583532
0.660330 -0.178698 1.451982 9.727232
0.670335 -0.185223 1.451150 9.870828
0.680340 -0.191854 1.450312 10.014321
0.690345 -0.198587 1.449468 10.157712
0.700350 -0.205423 1.448617 10.301002
0.710355 -0.212359 1.447760 10.444194
0.720360 -0.219394 1.446897 10.587287
0.730365 -0.226528 1.446028 10.730284
0.740370 -0.233757 1.445154 10.873187
