t psi theta phi
0.000000 0.000000 1.047198 0.000000
0.002000 -0.000000 1.047196 0.050005
0.004000 -0.000000 1.047190 0.100010
0.006001 -0.000000 1.047180 0.150015
0.008001 -0.000001 1.047166 0.200019
0.010001 -0.000002 1.047149 0.250024
0.012001 -0.000003 1.047127 0.300027
0.014001 -0.000004 1.047101 0.350031
0.016002 -0.000007 1.047072 0.400034
0.018002 -0.000010 1.047039 0.450037
0.020002 -0.000013 1.047001 0.500039
0.022002 -0.000017 1.046960 0.550040
0.024002 -0.000023 1.046915 0.600040
0.026003 -0.000029 1.046866 0.650040
0.028003 -0.000036 1.046814 0.700039
0.030003 -0.000044 1.046757 0.750037
0.032003 -0.000053 1.046696 0.800033
0.034003 -0.000064 1.046632 0.850029
0.036004 -0.000076 1.046563 0.900024
0.038004 -0.000089 1.046491 0.950017
0.040004 -0.000104 1.046415 1.000009
0.042004 -0.000121 1.046335 1.050000
0.044004 -0.000139 1.046251 1.099989
0.046005 -0.000159 1.046164 1.149977
0.048005 -0.000180 1.046072 1.199964
0.050005 -0.000203 1.045977 1.249948
0.052005 -0.000229 1.045878 1.299932
0.054005 -0.000256 1.045775 1.349913
0.056006 -0.000285 1.045668 1.399892
0.058006 -0.000317 1.045558 1.449870
0.060006 -0.000351 1.045444 1.499846
0.062006 -0.000387 1.045326 1.549820
0.064006 -0.000425 1.045204 1.599791
0.066007 -0.000466 1.045078 1.649761
0.068007 -0.000510 1.044949 1.699728
0.070007 -0.000556 1.044816 1.749694
0.072007 -0.000604 1.044680 1.799656
0.074007 -0.000656 1.044539 1.849617
0.076008 -0.000710 1.044395 1.899575
0.078008 -0.000767 1.044248 1.949531
0.080008 -0.000827 1.044096 1.999484
0.082008 -0.000890 1.043941 2.049434
0.084008 -0.000956 1.043783 2.099382
0.086009 -0.001026 1.043621 2.149327
0.088009 -0.001098 1.043455 2.199270
0.090009 -0.001174 1.043286 2.249209
0.092009 -0.001253 1.043113 2.299146
0.094009 -0.001336 1.042936 2.349079
0.096010 -0.001422 1.042756 2.399010
0.098010 -0.001511 1.042573 2.448938
0.100010 -0.001605 1.042386 2.498862
0.102010 -0.001701 1.042195 2.548783
0.104010 -0.001802 1.042001 2.598701
0.106011 -0.001907 1.041804 2.648616
0.108011 -0.002015 1.041603 2.698528
0.110011 -0.002127 1.041399 2.748436
0.112011 -0.002243 1.041191 2.798340
0.114011 -0.002364 1.040980 2.848241
0.116012 -0.002488 1.040766 2.898139
0.118012 -0.002617 1.040548 2.948033
0.120012 -0.002750 1.040327 2.997923
0.122012 -0.002887 1.040103 3.047810
0.124012 -0.003029 1.039875 3.097693
0.126013 -0.003174 1.039644 3.147572
0.128013 -0.003325 1.039410 3.197447
0.130013 -0.003480 1.039173 3.247319
0.132013 -0.003639 1.038932 3.297186
0.134013 -0.003804 1.038688 3.347050
0.136014 -0.003972 1.038442 3.396909
0.138014 -0.004146 1.038192 3.446765
0.140014 -0.004324 1.037939 3.496616
0.142014 -0.004508 1.037683 3.546463
0.144014 -0.004696 1.037423 3.596306
0.146015 -0.004889 1.037161 3.646145
0.148015 -0.005087 1.036896 3.695979
0.150015 -0.005291 1.036628 3.745809
0.152015 -0.005499 1.036356 3.795635
0.154015 -0.005712 1.036082 3.845456
0.156016 -0.005931 1.035805 3.895273
0.158016 -0.006155 1.035525 3.945085
0.160016 -0.006384 1.035242 3.994893
0.162016 -0.006619 1.034957 4.044696
0.164016 -0.006859 1.034668 4.094495
0.166017 -0.007104 1.034377 4.144289
0.168017 -0.007355 1.034083 4.194078
0.170017 -0.007612 1.033786 4.243863
0.172017 -0.007874 1.033487 4.293643
0.174017 -0.008141 1.033184 4.343418
0.176018 -0.008415 1.032879 4.393188
0.178018 -0.008694 1.032572 4.442954
0.180018 -0.008978 1.032262 4.492714
0.182018 -0.009269 1.031949 4.542470
0.184018 -0.009565 1.031634 4.592221
0.186019 -0.009867 1.031316 4.641966
0.188019 -0.010175 1.030996 4.691707
0.190019 -0.010489 1.030673 4.741443
0.192019 -0.010809 1.030348 4.791173
0.194019 -0.011135 1.030020 4.840899
0.196020 -0.011467 1.029690 4.890619
0.198020 -0.011805 1.029357 4.940335
0.200020 -0.012149 1.029023 4.990045
0.202020 -0.012499 1.028685 5.039750
0.204020 -0.012856 1.028346 5.089450
0.206021 -0.013218 1.028004 5.139144
0.208021 -0.013587 1.027661 5.188833
0.210021 -0.013962 1.027315 5.238517
0.212021 -0.014343 1.026966 5.288196
0.214021 -0.014731 1.026616 5.337869
0.216022 -0.015125 1.026263 5.387537
0.218022 -0.015525 1.025909 5.437200
0.220022 -0.015932 1.025552 5.486857
0.222022 -0.016345 1.025194 5.536509
0.224022 -0.016765 1.024833 5.586155
0.226023 -0.017191 1.024471 5.635796
0.228023 -0.017623 1.024106 5.685432
0.230023 -0.018062 1.023740 5.735062
0.232023 -0.018508 1.023371 5.784686
0.234023 -0.018960 1.023001 5.834305
0.236024 -0.019419 1.022629 5.883919
0.238024 -0.019884 1.022256 5.933527
0.240024 -0.020356 1.021880 5.983129
0.242024 -0.020834 1.021503 6.032726
0.244024 -0.021319 1.021124 6.082317
0.246025 -0.021811 1.020744 6.131903
0.248025 -0.022310 1.020362 6.181483
0.250025 -0.022815 1.019978 6.231057
0.252025 -0.023327 1.019593 6.280626
0.254025 -0.023845 1.019206 6.330189
0.256026 -0.024371 1.018818 6.379747
0.258026 -0.024903 1.018428 6.429299
0.260026 -0.025442 1.018037 6.478845
0.262026 -0.025987 1.017644 6.528386
0.264026 -0.026540 1.017250 6.577921
0.266027 -0.027099 1.016855 6.627450
0.268027 -0.027665 1.016458 6.676974
0.270027 -0.028238 1.016060 6.726492
0.272027 -0.028818 1.015661 6.776004
0.274027 -0.029404 1.015261 6.825511
0.276028 -0.029997 1.014859 6.875012
0.278028 -0.030598 1.014457 6.924507
0.280028 -0.031205 1.014053 6.973997
0.282028 -0.031819 1.013648 7.023481
0.284028 -0.032439 1.013242 7.072959
0.286029 -0.033067 1.012835 7.122431
0.288029 -0.033702 1.012427 7.171898
0.290029 -0.034343 1.012018 7.221359
0.292029 -0.034991 1.011608 7.270814
0.294029 -0.035646 1.011197 7.320264
0.296030 -0.036308 1.010786 7.369708
0.298030 -0.036977 1.010373 7.419147
0.300030 -0.037653 1.009960 7.468579
0.302030 -0.038336 1.009546 7.518006
0.304030 -0.039025 1.009131 7.567427
0.306031 -0.039722 1.008715 7.616843
0.308031 -0.040425 1.008299 7.666253
0.310031 -0.041135 1.007882 7.715657
0.312031 -0.041853 1.007465 7.765056
0.314031 -0.042577 1.007047 7.814449
0.316032 -0.043307 1.006628 7.863836
0.318032 -0.044045 1.006209 7.913218
0.320032 -0.044790 1.005790 7.962594
0.322032 -0.045541 1.005370 8.011965
0.324032 -0.046299 1.004949 8.061329
0.326033 -0.047064 1.004529 8.110689
0.328033 -0.047836 1.004107 8.160042
0.330033 -0.048615 1.003686 8.209390
0.332033 -0.049400 1.003264 8.258733
0.334033 -0.050193 1.002842 8.308070
0.336034 -0.050992 1.002420 8.357401
0.338034 -0.051798 1.001997 8.406727
0.340034 -0.052611 1.001575 8.456048
0.342034 -0.053430 1.001152 8.505362
0.344034 -0.054256 1.000729 8.554672
0.346035 -0.055089 1.000306 8.603976
0.348035 -0.055929 0.999883 8.653274
0.350035 -0.056775 0.999460 8.702567
0.352035 -0.057628 0.999037 8.751854
0.354035 -0.058488 0.998614 8.801136
0.356036 -0.059355 0.998192 8.850413
0.358036 -0.060228 0.997769 8.899684
0.360036 -0.061108 0.997346 8.948950
0.362036 -0.061994 0.996924 8.998211
0.364036 -0.062887 0.996502 9.047466
0.366037 -0.063787 0.996080 9.096716
0.368037 -0.064693 0.995658 9.145960
0.370037 -0.065606 0.995237 9.195199
0.372037 -0.066525 0.994816 9.244433
0.374037 -0.067451 0.994395 9.293662
0.376038 -0.068383 0.993975 9.342885
0.378038 -0.069322 0.993555 9.392103
0.380038 -0.070268 0.993136 9.441316
0.382038 -0.071219 0.992717 9.490524
0.384038 -0.072178 0.992298 9.539726
0.386039 -0.073142 0.991880 9.588924
0.388039 -0.074113 0.991463 9.638116
0.390039 -0.075091 0.991046 9.687303
0.392039 -0.076075 0.990630 9.736485
0.394039 -0.077065 0.990215 9.785662
0.396040 -0.078061 0.989800 9.834834
0.398040 -0.079064 0.989386 9.884001
0.400040 -0.080073 0.988973 9.933163
0.402040 -0.081088 0.988561 9.982320
0.404040 -0.082110 0.988149 10.031472
0.406041 -0.083137 0.987738 10.080619
0.408041 -0.084171 0.987328 10.129761
0.410041 -0.085211 0.986919 10.178898
0.412041 -0.086257 0.986511 10.228031
0.414041 -0.087309 0.986104 10.277158
0.416042 -0.088368 0.985698 10.326281
0.418042 -0.089432 0.985292 10.375399
0.420042 -0.090502 0.984888 10.424512
0.422042 -0.091579 0.984485 10.473620
0.424042 -0.092661 0.984083 10.522724
0.426043 -0.093749 0.983682 10.571823
0.428043 -0.094843 0.983283 10.620917
0.430043 -0.095943 0.982884 10.670006
0.432043 -0.097049 0.982487 10.719091
0.434043 -0.098161 0.982091 10.768171
0.436044 -0.099279 0.981696 10.817247
0.438044 -0.100402 0.981302 10.866318
0.440044 -0.101531 0.980910 10.915385
0.442044 -0.102666 0.980519 10.964447
0.444044 -0.103806 0.980129 11.013505
0.446045 -0.104952 0.979741 11.062558
0.448045 -0.106104 0.979354 11.111607
0.450045 -0.107261 0.978969 11.160651
