t psi theta phi
0.000000 0.000000 1.047198 0.000000
0.005003 -0.020652 1.047196 0.082165
0.010005 -0.041304 1.047192 0.164330
0.015008 -0.061955 1.047186 0.246496
0.020010 -0.082606 1.047177 0.328661
0.025013 -0.103257 1.047165 0.410827
0.030015 -0.123908 1.047151 0.492994
0.035018 -0.144558 1.047134 0.575161
0.040020 -0.165208 1.047114 0.657329
0.045023 -0.185857 1.047092 0.739497
0.050025 -0.206505 1.047068 0.821667
0.055028 -0.227152 1.047040 0.903837
0.060030 -0.247798 1.047011 0.986009
0.065033 -0.268444 1.046978 1.068181
0.070035 -0.289088 1.046944 1.150355
0.075038 -0.309732 1.046906 1.232530
0.080040 -0.330374 1.046866 1.314707
0.085043 -0.351014 1.046824 1.396885
0.090045 -0.371654 1.046779 1.479065
0.095048 -0.392292 1.046732 1.561247
0.100050 -0.412928 1.046682 1.643430
0.105053 -0.433563 1.046630 1.725616
0.110055 -0.454196 1.046576 1.807803
0.115058 -0.474827 1.046519 1.889993
0.120060 -0.495457 1.046459 1.972184
0.125063 -0.516085 1.046398 2.054378
0.130065 -0.536710 1.046334 2.136574
0.135068 -0.557334 1.046267 2.218773
0.140070 -0.577955 1.046199 2.300974
0.145073 -0.598575 1.046128 2.383178
0.150075 -0.619192 1.046055 2.465385
0.155078 -0.639807 1.045980 2.547594
0.160080 -0.660419 1.045902 2.629806
0.165083 -0.681029 1.045823 2.712021
0.170085 -0.701636 1.045741 2.794239
0.175088 -0.722241 1.045657 2.876460
0.180090 -0.742843 1.045571 2.958685
0.185093 -0.763443 1.045483 3.040912
0.190095 -0.784040 1.045393 3.123143
0.195098 -0.804634 1.045301 3.205378
0.200100 -0.825224 1.045207 3.287615
0.205103 -0.845813 1.045112 3.369857
0.210105 -0.866398 1.045014 3.452102
0.215108 -0.886979 1.044914 3.534350
0.220110 -0.907558 1.044813 3.616602
0.225113 -0.928134 1.044710 3.698859
0.230115 -0.948706 1.044605 3.781119
0.235118 -0.969276 1.044499 3.863382
0.240120 -0.989841 1.044390 3.945650
0.245123 -1.010404 1.044281 4.027922
0.250125 -1.030963 1.044169 4.110198
0.255128 -1.051518 1.044056 4.192478
0.260130 -1.072071 1.043942 4.274763
0.265133 -1.092619 1.043826 4.357051
0.270135 -1.113164 1.043708 4.439344
0.275138 -1.133705 1.043589 4.521642
0.280140 -1.154243 1.043469 4.603943
0.285143 -1.174777 1.043348 4.686250
0.290145 -1.195307 1.043225 4.768560
0.295148 -1.215833 1.043101 4.850876
0.300150 -1.236356 1.042976 4.933196
0.305153 -1.256874 1.042850 5.015520
0.310155 -1.277389 1.042722 5.097849
0.315158 -1.297900 1.042594 5.180183
0.320160 -1.318407 1.042464 5.262522
0.325163 -1.338910 1.042334 5.344865
0.330165 -1.359409 1.042203 5.427213
0.335168 -1.379904 1.042070 5.509566
0.340170 -1.400394 1.041937 5.591924
0.345173 -1.420881 1.041803 5.674287
0.350175 -1.441364 1.041669 5.756654
0.355178 -1.461843 1.041534 5.839027
0.360180 -1.482317 1.041398 5.921405
0.365183 -1.502787 1.041261 6.003787
0.370185 -1.523254 1.041124 6.086175
0.375188 -1.543716 1.040986 6.168567
0.380190 -1.564174 1.040848 6.250965
0.385193 -1.584627 1.040710 6.333367
0.390195 -1.605077 1.040571 6.415775
0.395198 -1.625522 1.040432 6.498188
0.400200 -1.645963 1.040292 6.580606
0.405203 -1.666400 1.040153 6.663028
0.410205 -1.686833 1.040013 6.745456
0.415208 -1.707261 1.039873 6.827889
0.420210 -1.727685 1.039733 6.910328
0.425213 -1.748105 1.039593 6.992771
0.430215 -1.768521 1.039453 7.075219
0.435218 -1.788933 1.039313 7.157672
0.440220 -1.809340 1.039173 7.240131
0.445223 -1.829744 1.039033 7.322594
0.450225 -1.850143 1.038893 7.405062
0.455228 -1.870538 1.038754 7.487536
0.460230 -1.890929 1.038615 7.570014
0.465233 -1.911315 1.038476 7.652498
0.470235 -1.931698 1.038338 7.734987
0.475238 -1.952076 1.038200 7.817480
0.480240 -1.972450 1.038063 7.899978
0.485243 -1.992821 1.037926 7.982482
0.490245 -2.013187 1.037790 8.064990
0.495248 -2.033549 1.037654 8.147503
0.500250 -2.053907 1.037519 8.230021
0.505253 -2.074261 1.037385 8.312544
0.510255 -2.094612 1.037251 8.395072
0.515258 -2.114958 1.037118 8.477604
0.520260 -2.135300 1.036986 8.560141
0.525263 -2.155639 1.036855 8.642683
0.530265 -2.175973 1.036725 8.725229
