t psi theta phi
0.000000 0.000000 1.047198 0.000000
0.005003 -0.002454 1.047196 0.097925
0.010005 -0.004908 1.047192 0.195850
0.015008 -0.007362 1.047186 0.293775
0.020010 -0.009816 1.047177 0.391699
0.025013 -0.012270 1.047165 0.489624
0.030015 -0.014725 1.047151 0.587548
0.035018 -0.017181 1.047134 0.685471
0.040020 -0.019637 1.047114 0.783394
0.045023 -0.022094 1.047092 0.881317
0.050025 -0.024551 1.047067 0.979239
0.055028 -0.027009 1.047040 1.077160
0.060030 -0.029468 1.047010 1.175081
0.065033 -0.031928 1.046978 1.273000
0.070035 -0.034390 1.046943 1.370919
0.075038 -0.036852 1.046906 1.468837
0.080040 -0.039316 1.046866 1.566754
0.085043 -0.041780 1.046823 1.664670
0.090045 -0.044247 1.046778 1.762585
0.095048 -0.046714 1.046730 1.860498
0.100050 -0.049183 1.046680 1.958410
0.105053 -0.051654 1.046628 2.056321
0.110055 -0.054127 1.046573 2.154231
0.115058 -0.056601 1.046515 2.252139
0.120060 -0.059077 1.046456 2.350045
0.125063 -0.061555 1.046393 2.447950
0.130065 -0.064035 1.046328 2.545853
0.135068 -0.066517 1.046261 2.643755
0.140070 -0.069002 1.046192 2.741655
0.145073 -0.071488 1.046120 2.839553
0.150075 -0.073977 1.046046 2.937449
0.155078 -0.076468 1.045969 3.035343
0.160080 -0.078962 1.045890 3.133235
0.165083 -0.081458 1.045809 3.231125
0.170085 -0.083956 1.045726 3.329013
0.175088 -0.086458 1.045640 3.426899
0.180090 -0.088962 1.045552 3.524782
0.185093 -0.091468 1.045462 3.622663
0.190095 -0.093978 1.045370 3.720542
0.195098 -0.096490 1.045276 3.818419
0.200100 -0.099006 1.045179 3.916293
0.205103 -0.101525 1.045080 4.014164
0.210105 -0.104046 1.044980 4.112033
0.215108 -0.106571 1.044877 4.209899
0.220110 -0.109099 1.044772 4.307763
0.225113 -0.111630 1.044665 4.405624
0.230115 -0.114165 1.044556 4.503482
0.235118 -0.116703 1.044445 4.601337
0.240120 -0.119245 1.044333 4.699190
0.245123 -0.121790 1.044218 4.797040
0.250125 -0.124339 1.044101 4.894886
0.255128 -0.126891 1.043983 4.992730
0.260130 -0.129447 1.043863 5.090570
0.265133 -0.132007 1.043741 5.188408
0.270135 -0.134571 1.043617 5.286242
0.275138 -0.137138 1.043491 5.384073
0.280140 -0.139710 1.043364 5.481901
0.285143 -0.142285 1.043235 5.579726
0.290145 -0.144865 1.043105 5.677547
0.295148 -0.147448 1.042973 5.775365
0.300150 -0.150036 1.042839 5.873180
0.305153 -0.152627 1.042704 5.970991
0.310155 -0.155223 1.042567 6.068799
0.315158 -0.157823 1.042428 6.166604
0.320160 -0.160428 1.042289 6.264405
